hs4,product,complex
3403,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, antirust or anticorrosion preparations and mold release preparations, based on lubricants) and preparations of a kind used for the oil or grease treatment of t",1.35
6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods",1.34
7226,"Flat-rolled products of other alloy steel, of a width of less than 600 mm",1.34
7315,"Chain and parts thereof, of iron or steel",1.34
3407,"Modeling pastes, including those put up for children's amusement; preparations known as dental wax or as dental impression compounds, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms",1.34
2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated, or nitrosated derivatives",1.33
8523,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37",1.33
8449,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, including machinery for making felt hats; blocks for making hats; parts thereof:",1.33
5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 5902",1.32
4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 4001 with any product of this heading, in primary forms or in plates, sheets or strip",1.32
7009,"Glass mirrors, whether or not framed, including rear-view mirrors",1.32
8413,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators; part thereof",1.31
8451,"Machinery (other than machines of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and m",1.3
8408,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines),1.3
5911,"Textile products and articles, for technical uses, specified in note 7 to this chapter",1.29
7218,Stainless steel in ingots or other primary forms; semi- finished products of stainless steel,1.29
8508,Vacuum cleaners; parts thereof,1.28
8464,"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass",1.27
8526,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus",1.27
8412,"Other engines and motors, and parts thereof",1.27
3918,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in note 9 to this chapter",1.27
3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulfides, polysulfones and other products specified in note 3 to this chapter, not elsewhere specified or included, in primary forms",1.26
8454,"Converters, ladles, ingot molds and casting machines, of a kind used in metallurgy or in metal foundries, and parts thereof",1.26
9022,"Apparatus based on the use ofX-rays or of alpha, beta or gamma radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, c",1.25
3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms",1.25
7219,"Flat-rolled products of stainless steel, of a width of 600 mm or more",1.25
9010,"Apparatus and equipment for photographic (including cinematographic)laboratories, not specified or included elsewhere in this chapter; negatoscopes; projection screens; parts and accessories thereof",1.25
3821,"Prepared culture media for development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",1.25
9002,"Lenses, prisms, mirrors and other optical elements, of any material, mounted,being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked; parts and accessories thereof",1.25
7110,"Platinum, unwrought or in semimanufactured forms, or in powder form",1.24
7004,"Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked",1.23
9029,"Revolution counters, production counters, taximeters, odometers, pedometers and the like; speedometers and tachometers, other than those of heading 9014 or 9015; stroboscopes;parts and accessories thereof",1.23
7320,"Springs and leaves for springs, of iron or steel",1.23
8104,"Magnesium and articles thereof, including waste and scrap",1.22
7319,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included",1.22
6805,"Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up",1.21
8480,"Molding boxes for metal foundry; mold bases; molding patterns; molds for metal (other than ingot molds), metal carbides, glass, mineral materials, rubber or plastics",1.21
8109,"Zirconium and articles thereof, including waste and scrap",1.21
7410,"Copper foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness(excluding any backing) not exceeding 0.15 mm",1.21
8707,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",1.2
2845,"Isotopes other than those of heading 2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined",1.2
2937,"Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones",1.2
9110,"Complete watch or clock movements, unassembled or partly assembled (movement sets); incomplete watch or clock movements, assembled; rough watch or clock movements",1.2
8548,"Waste and scrap of primary cells, primary batteries and electric storage batteries; spent primary cells, spent primary batteries and spent electric storage batteries; electrical parts of machinery or apparatus, not specified or included elsewhere in this",1.2
2913,"Halogenated, sulfonated, nitrated or nitrosated derivatives of products of heading 2912",1.2
8708,Parts and accessories of the motor vehicles of headings 8701 to 8705,1.2
3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included",1.19
3812,"Prepared rubber accelerators; compound plasticizers for rubber or plastics, not elsewhere specified or included; antioxidizing preparations and other compound stabilizers for rubber or plastics",1.19
3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxins, cultures of micr",1.19
7014,"Signaling glassware and optical elements of glass (other than those of heading 7015), not optically worked:",1.19
2915,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",1.18
3819,"Hydraulic brake, transmission fluid <70% petroleum oil",1.18
7020,Other articles of glass:,1.18
7504,Nickel powders and flakes,1.18
9030,"Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 9028;instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionizin",1.17
8455,Metal-rolling mills and rolls therefor; parts thereof,1.17
9013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter; parts and accessories thereo",1.17
7415,"Nails, tacks, drawing pins, staples (other than those of heading 8305) and similar articles, of copper or of iron or steel with heads of copper; screws,bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar",1.17
8473,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 8469 to 8472",1.17
3706,"Motion-picture film, exposed and developed, whether or not incorporating sound track or consisting only of sound track",1.17
9005,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and mountings therefor, but not including instruments for radio-astronomy; parts and accessories thereof",1.17
8441,"Other machinery for making up paper pulp, paper or paperboard, including cutting machines of all kinds, and parts thereof",1.16
7111,"Base metals, silver or gold, clad with platinum, not further worked than semimanufactured",1.16
7002,"Glass in balls (other than microspheres of heading 7018), rods or tubes, unworked",1.16
8409,Parts suitable for use solely or principally with the engines of heading 8407 or 8408,1.16
7222,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel",1.16
7229,Wire of other alloy steel,1.15
2922,Oxygen-function amino-compounds,1.15
3506,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg",1.15
4005,"Compounded rubber, unvulcanized, in primary forms or in plates, sheets or strip",1.15
7307,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel",1.15
2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",1.14
2906,"Cyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",1.14
8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting",1.13
6815,"Articles of stone or of other mineral substances (including carbon fibers, articles of carbon fibers and articles of peat), not elsewhere specified or included",1.13
8485,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.",1.13
8416,"Furnace burners for liquid fuel, for pulverized solid fuel or for gas; mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances; parts thereof",1.13
7223,Wire of stainless steel:,1.13
2903,Halogenated derivatives of hydrocarbons,1.12
8443,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442; other printers, copying machines and facsimile machines, whether or not combined; parts and accessories thereof",1.12
2926,Nitrile-function compounds,1.12
7109,"Base metals or silver, clad with gold, not further worked than semimanufactured",1.12
2930,Organo-sulfur compounds,1.11
3822,"Diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents, whether or not on a backing, other than those of heading 3002 or 3006; certified reference materials",1.11
8445,"Machines for preparing textile fibers; spinning, doubling or twisting machines and other machinery for producing textile yarns; textile reeling or winding (including weft winding) machines and machines for preparing textile yarns for use on the machines o",1.11
9008,"Image projectors, other than cinematographic; photographic (other than cinematographic) enlargers and reducers; parts and accessories thereof",1.11
8401,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and apparatus for isotopic separation; parts thereof",1.11
7105,Dust and powder of natural or synthetic precious or semi-precious stones,1.1
8521,"Video recording or reproducing apparatus, whether or not incorporating a video tuner",1.1
8440,"Bookbinding machinery, including book-sewing machines, and parts thereof",1.09
2929,Compounds with other nitrogen function,1.09
6903,"Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths and rods), other than those of siliceous fossil meals or of similar siliceous earths",1.09
8202,"Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof",1.09
5603,"Nonwovens, whether or not impregnated, coated, covered or laminated",1.08
2823,Titanium oxides,1.08
2936,"Provitamins and vitamins, natural or reproduced by synthesis (including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not in any solvent",1.07
8510,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor; parts thereof",1.07
2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",1.07
9032,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof,1.07
8428,"Other lifting, handling, loading or unloading machinery (for example, elevators, escalators, conveyors, teleferics)",1.06
8424,"Mechanical appliances (whether or not hand operated) for projecting, dispersing or spraying liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar jet projecting machi",1.06
2908,"Halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",1.05
8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702),including station wagons and racing cars",1.05
2846,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals",1.04
8465,"Machine tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials",1.04
8522,Parts and accessories suitable for use solely or principally with the apparatus of headings 8519 to 8521,1.04
2816,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium",1.04
8534,Electronic printed circuits,1.03
3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms",1.03
4816,"Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading 4809), duplicator stencils and offset plates, of paper, whether or not put up in boxes",1.03
4812,"Filter blocks, slabs and plates, of paper pulp",1.03
8403,Central heating boilers (other than those of heading 8402) and parts thereof,1.02
7507,"Nickel tubes, pipes and tube or pipe fittings (for example, couplings, elbows,sleeves)",1.02
8407,Spark-ignition reciprocating or rotary internal combustion piston engines,1.02
8452,"Sewing machines, other than book-sewing machines of heading 8440; furniture, bases and covers specially designed for sewing machines; sewing machine needles; parts thereof",1.01
8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof",1.01
3204,"Synthetic organic coloring matter, whether or not chemically defined; preparations as specified in note 3 to this chapter based on synthetic organic coloring matter; synthetic organic products of a kind used as fluorescent brightening agents or as luminop",1.01
8531,"Electric sound or visual signaling apparatus (for example,bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 8512 or 8530;parts thereof",1
8539,"Electrical filament or discharge lamps, including sealed beam lamp units and ultraviolet or infrared lamps; arc lamps; parts thereof",1
2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 2937, 2938 or 2939:",1
8211,"Knives with cutting blades,serrated or not (including pruning knives), other than knives of heading 8208, and blades and other base metal parts thereof",0.997
2928,Organic derivatives of hydrazine or of hydroxylamine,0.996
2933,Heterocyclic compounds with nitrogen hetero-atom(s) only,0.993
4008,"Plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",0.991
9011,"Compound optical microscopes, including those for photomicrography, cinemicrography or microprojection; parts and accessories thereof",0.99
7505,"Nickel bars, rods, profiles and wire",0.989
9025,"Hydrometers and similar floating instruments, thermometers, pyrometers,barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof",0.987
8541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes; mounted piezoelectric crystals; parts thereof",0.985
9209,"Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds",0.983
3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls",0.982
9105,Other clocks,0.981
8507,"Electric storage batteries, including separators therefor, whether or not rectangular(including square); parts thereof",0.977
3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",0.977
7406,Copper powders and flakes,0.975
9304,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 9307:",0.97
3504,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed",0.97
8471,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",0.969
8532,"Electrical capacitors, fixed, variable or adjustable (pre-set); parts thereof",0.966
6814,"Worked mica and articles of mica, including agglomerated or reconstituted mica, whether or not on a support of paper, paperboard or other materials",0.96
2927,"Diazo-, azo- or azoxy-compounds",0.96
8542,Electronic integrated circuits; parts thereof,0.948
8406,"Steam turbines and other vapor turbines, and parts thereof",0.945
9107,Time switches with clock or watch movement or with synchronous motor:,0.937
2932,Heterocyclic compounds with oxygen hetero-atom(s) only,0.932
9019,"Mechano-therapy appliances; massage apparatus;psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy,artificial respiration or other therapeutic respiration apparatus; parts and accessories thereof",0.931
8436,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders; parts thereof",0.929
7015,"Clock or watch glasses and similar glasses, glasses for noncorrective or corrective spectacles, curved, bent, hollowed or the like, not optically worked; hollow glass spheres and their segments, for the manufacture of such glasses",0.921
8302,"Base metal mountings, fittings and similar articles suitable for furniture, doors,staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like; base metal hat racks, hat-pegs, brackets and similar fixtures; castors with mountings",0.92
8501,Electric motors and generators (excluding generating sets),0.92
7412,"Copper tube or pipe fittings(for example couplings, elbows, sleeves)",0.919
8468,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting, other than those of heading 8515; gas-operated surface tempering machines and appliances; parts thereof",0.917
203,"Meat of swine, fresh, chilled or frozen",0.916
8524,"Recorded sound media records, tapes, cassettes, master records, metal matrices, compact discs",0.911
2902,Cyclic hydrocarbons,0.911
9033,"Parts and accessories (not specified or included elsewhere in this chapter) for machines, appliances, instruments or apparatus of chapter 90",0.91
8204,"Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); socket wrenches, with or without handles,drives or extensions; base metal parts thereof",0.907
9207,"Musical instruments, the sound of which is produced, or must be amplified,electrically (for example, organs, guitars, accordions)",0.906
8546,Electrical insulators of any material,0.904
7326,Other articles of iron or steel,0.904
8530,"Electrical signaling, safety or traffic control equipment for railways, streetcar lines, subways, roads, inland waterways, parking facilities, port installations or airfields (other than those of heading 8608); parts thereof",0.904
2813,Sulfides of nonmetals; commercial phosphorus trisulfide,0.904
8709,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used in factories,warehouses, dock areas or airports for short distance transport of goods; tractors of the type used on railway station platforms; parts of the foreg",0.903
8512,"Electrical lighting or signaling equipment (excluding articles of heading8539), windshield wipers, defrosters and demisters, of a kind used for cycles or motor vehicles;parts thereof",0.902
8472,"Other office machines (for example, hectograph or stencil duplicating machines, addressing machines, automatic banknote dispensers, coin-sorting machines, coin-counting or wrapping machines, pencil-sharpening machines, perforating or stapling machines)",0.902
4010,"Conveyor or transmission belts or belting, of vulcanized rubber",0.897
3001,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organotherapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or p",0.897
7609,"Aluminum tube or pipe fittings (for example, couplings, elbows, sleeves)",0.895
4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-colored, surface-decorated or printed, in rolls or rectangular (including",0.886
2941,Antibiotics,0.884
8476,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines; parts thereof",0.884
9021,"Orthopedic appliances,including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or",0.881
8433,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 8437; parts thereof",0.88
3813,Preparations and charges for fire extinguishers; charged fire-extinguishing grenades:,0.88
4006,"Other forms (for example, rods, tubes and profile shapes) and articles (for example, discs and rings), of unvulcanized rubber",0.878
8431,Parts suitable for use solely or principally with the machinery of headings 8425 to 8430,0.878
7224,Other alloy steel in ingots or other primary forms; semi- finished products of other alloy steel,0.878
2911,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated or nitrosated derivatives",0.871
7613,Aluminum containers for compressed or liquefied gas,0.869
8442,"Machinery, apparatus and equipment (other than the machine tools of headings 8456 to 8465), for preparing or making plates, cylinders or other printing components; plates, cylinders and other printing components; plates, cylinders and lithographic stones,",0.868
5909,"Textile hosepiping and similar textile tubing, with or without lining, armor or accessories of other materials:",0.867
8547,"Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of metal (for example, threaded sockets)incorporated during molding solely for the purposes of assembly, oth",0.865
